交易代码,实际净利润公告日期,实际净利润报告期,报表类型,净利润,平均预测净利润
1,2018-03-15,20171231,合并报表,23189000000.0,23140500000.0
2,2018-03-27,20171231,合并报表,28051814882.36,26731556363.636364
34,2018-03-29,20171231,合并报表,722924713.03,459500000.0
63,2018-03-16,20171231,合并报表,4568172000.0,4541442857.142858
70,2018-04-11,20171231,合并报表,265623180.36,261185000.0
338,2018-03-29,20171231,合并报表,6808342544.23,6267500000.0
413,2018-04-20,20171231,合并报表,1743666827.25,1543460000.0
418,2018-03-13,20171231,合并报表,1506412505.22,1498500000.0
425,2018-04-28,20171231,合并报表,1020617730.33,1007585000.0
501,2018-04-28,20171231,合并报表,1241339841.59,1071880000.0
503,2018-04-21,20171231,合并报表,16674851.14,15500000.0
513,2018-03-24,20171231,合并报表,4428684564.57,2274440000.0
525,2018-04-10,20171231,合并报表,713841677.3,703195000.0
552,2018-03-27,20171231,合并报表,552210986.07,534695000.0
560,2018-04-26,20171231,合并报表,72890641.65,66870000.0
581,2018-04-17,20171231,合并报表,2571339490.04,2353635000.0
596,2018-04-28,20171231,合并报表,1148740644.93,1103500000.0
606,2018-04-14,20171231,合并报表,64215586.67,52880000.0
620,2018-04-25,20171231,合并报表,857246228.7,815890000.0
651,2018-04-26,20171231,合并报表,22401576204.94,20886438000.0
656,2018-04-17,20171231,合并报表,2004605156.41,1502450000.0
661,2018-02-09,20171231,合并报表,661948769.32,652240000.0
671,2018-04-14,20171231,合并报表,2061965489.09,1643000000.0
710,2018-04-12,20171231,合并报表,232749588.92,227740000.0
717,2018-03-06,20171231,合并报表,2516547383.11,2264000000.0
732,2018-04-25,20171231,合并报表,2124469202.25,1972000000.0
786,2018-03-17,20171231,合并报表,2343985433.41,2198000000.0
825,2018-04-20,20171231,合并报表,4621885052.5,3417390000.0
830,2018-04-17,20171231,合并报表,1949936379.17,1626865714.2857144
858,2018-04-28,20171231,合并报表,9673721498.15,9197614000.0
881,2018-04-10,20171231,合并报表,388861592.85,378130000.0
898,2018-03-27,20171231,合并报表,5605000000.0,4850500000.0
902,2018-04-03,20171231,合并报表,680150701.31,659190000.0
921,2018-03-30,20171231,合并报表,2018112935.64,1837000000.0
938,2018-04-26,20171231,合并报表,1575421203.61,1483070000.0
975,2018-04-27,20171231,合并报表,325273623.6,308000000.0
976,2018-04-25,20171231,合并报表,493989757.77,428955714.28571427
987,2018-03-15,20171231,合并报表,633318753.68,626000000.0
1696,2018-03-15,20171231,合并报表,272408148.59,272000000.0
1979,2018-03-27,20171231,合并报表,12220308172.65,11339634285.714285
2001,2018-04-25,20171231,合并报表,1704413449.19,1667756666.6666667
2003,2018-04-14,20171231,合并报表,364559003.88,349500000.0
2019,2018-03-31,20171231,合并报表,1305103508.11,1290234444.4444444
2024,2018-03-31,20171231,合并报表,4212516000.0,960380000.0
2025,2018-04-10,20171231,合并报表,311392158.87,292000000.0
2027,2018-04-25,20171231,合并报表,6004706786.08,5535281000.0
2032,2018-03-31,20171231,合并报表,1307606602.94,1296670000.0
2035,2018-04-27,20171231,合并报表,509628382.47,493992500.0
2039,2018-03-29,20171231,合并报表,320349916.9,286790000.0
2050,2018-04-16,20171231,合并报表,1235952056.18,1222288000.0
2068,2018-04-24,20171231,合并报表,480778460.78,467585000.0
2081,2018-04-27,20171231,合并报表,1918495635.15,1890881250.0
2102,2018-04-17,20171231,合并报表,282554111.86,259000000.0
2110,2018-04-14,20171231,合并报表,5420472598.64,3907622857.142857
2127,2018-04-23,20171231,合并报表,534291649.78,499562500.0
2142,2018-03-29,20171231,合并报表,9333572000.0,9043000000.0
2146,2018-04-11,20171231,合并报表,5760769979.99,5474000000.0
2149,2018-04-17,20171231,合并报表,54074793.61,48000000.0
2151,2018-04-19,20171231,合并报表,104911661.18,104000000.0
2153,2018-04-20,20171231,合并报表,419028697.62,418424444.4444444
2164,2018-04-26,20171231,合并报表,159317659.62,149000000.0
2171,2018-04-25,20171231,合并报表,360628267.46,353000000.0
2180,2018-04-28,20171231,合并报表,949416040.24,-301086666.6666667
2192,2018-04-24,20171231,合并报表,36181047.66,4530000.0
2194,2018-04-26,20171231,合并报表,-514433614.13,-520000000.0
2246,2018-04-18,20171231,合并报表,108480949.42,78000000.0
2258,2018-02-01,20171231,合并报表,401967285.28,349945000.0
2275,2018-04-20,20171231,合并报表,464402333.77,438000000.0
2285,2018-03-31,20171231,合并报表,1003883544.29,973167142.8571428
2299,2018-04-23,20171231,合并报表,315096697.6,312556666.6666667
2309,2018-04-18,20171231,合并报表,305537416.58,282000000.0
