实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2018-03-15,20171231,1,合并报表,23189000000.0
2018-03-27,20171231,2,合并报表,28051814882.36
2018-04-27,20171231,3,合并报表,2427619.44
2018-04-28,20171231,4,合并报表,8566720.65
2018-04-21,20171231,5,合并报表,15308435.84
2018-03-30,20171231,6,合并报表,805636364.61
2018-04-24,20171231,7,合并报表,16453651.05
2018-04-26,20171231,8,合并报表,873780534.16
2018-04-28,20171231,9,合并报表,133203837.23
2018-04-27,20171231,10,合并报表,-1061426865.24
2018-03-30,20171231,11,合并报表,622962734.37
2018-04-23,20171231,12,合并报表,825388312.0
2018-03-29,20171231,14,合并报表,7630332.76
2018-04-25,20171231,15,合并报表,29890922.24
2018-03-31,20171231,16,合并报表,5057025155.71
2018-04-18,20171231,17,合并报表,1529587.27
2018-04-25,20171231,18,合并报表,380090990.82
2018-04-24,20171231,19,合并报表,-54094136.23
2018-04-24,20171231,20,合并报表,974409.39
2018-04-12,20171231,21,合并报表,541303018.08
2018-04-20,20171231,23,合并报表,30500775.53
2018-04-03,20171231,25,合并报表,66862772.68
2018-03-10,20171231,26,合并报表,140216258.28
2018-04-13,20171231,27,合并报表,749338237.48
2018-03-22,20171231,28,合并报表,1057791930.67
2018-03-29,20171231,29,合并报表,184988512.42
2018-04-26,20171231,30,合并报表,831547593.78
2018-03-17,20171231,31,合并报表,945331099.59
2018-04-26,20171231,32,合并报表,26371245.4
2018-03-29,20171231,34,合并报表,722924713.03
2018-04-18,20171231,35,合并报表,222269197.54
2018-04-27,20171231,36,合并报表,1343125081.19
2018-03-22,20171231,37,合并报表,15904182.47
2018-04-21,20171231,38,合并报表,357930132.37
2018-03-28,20171231,39,合并报表,2509242000.0
2018-04-25,20171231,40,合并报表,544098352.54
2018-04-27,20171231,42,合并报表,615363173.16
2018-03-15,20171231,43,合并报表,150587755.0
2018-03-29,20171231,45,合并报表,52776101.46
2018-04-28,20171231,46,合并报表,2891318658.16
2018-07-19,20171231,47,合并报表,-4373692.84
2018-08-31,20171231,48,合并报表,-155536308.42
2018-03-27,20171231,49,合并报表,300535587.08
2018-03-01,20171231,50,合并报表,807204315.62
2018-04-24,20171231,55,合并报表,1144404441.03
2018-04-21,20171231,56,合并报表,177823722.36
2018-04-24,20171231,58,合并报表,219553261.1
2018-04-10,20171231,59,合并报表,1845279650.89
2018-04-03,20171231,60,合并报表,1066992868.26
2018-04-27,20171231,61,合并报表,13892078.69
2018-03-23,20171231,62,合并报表,412269517.65
2018-03-16,20171231,63,合并报表,4568172000.0
2018-03-28,20171231,65,合并报表,499253441.5
2018-04-28,20171231,66,合并报表,581043323.65
2018-04-17,20171231,68,合并报表,32603312.37
2018-04-27,20171231,69,合并报表,8643242549.64
2018-04-11,20171231,70,合并报表,265623180.36
2018-04-28,20171231,78,合并报表,636375838.5
2018-04-20,20171231,88,合并报表,404355216.05
2018-03-31,20171231,89,合并报表,661361735.12
2018-04-03,20171231,90,合并报表,601621221.04
2018-03-27,20171231,96,合并报表,150193990.42
2018-03-27,20171231,99,合并报表,90983257.61
2018-04-28,20171231,100,合并报表,2664395000.0
2018-04-26,20171231,150,合并报表,174327491.94
2018-03-30,20171231,151,合并报表,87361495.11
2018-04-20,20171231,153,合并报表,65348141.38
2018-04-28,20171231,155,合并报表,324897160.42
2018-04-26,20171231,156,合并报表,641275527.64
2018-03-30,20171231,157,合并报表,1331923715.27
2018-04-10,20171231,158,合并报表,355095034.93
2018-03-29,20171231,159,合并报表,-66305287.36
2018-04-21,20171231,166,合并报表,4599683411.82
2018-03-13,20171231,301,合并报表,228467350.51
2018-03-31,20171231,333,合并报表,17283689000.0
2018-03-29,20171231,338,合并报表,6808342544.23
2018-03-24,20171231,400,合并报表,613777306.9
2018-03-23,20171231,401,合并报表,110383334.02
2018-03-27,20171231,402,合并报表,3006412344.59
2018-04-26,20171231,403,合并报表,21596897.33
2018-03-31,20171231,404,合并报表,97123634.22
2018-04-24,20171231,405,合并报表,2072076.41
2018-04-12,20171231,407,合并报表,62302459.69
2018-04-28,20171231,408,合并报表,1214377081.63
2018-06-22,20171231,409,合并报表,-224841762.27
2018-01-31,20171231,410,合并报表,117751570.5
2018-04-21,20171231,411,合并报表,83490544.2
2018-04-20,20171231,413,合并报表,1743666827.25
2018-04-24,20171231,415,合并报表,2630341000.0
2018-03-21,20171231,416,合并报表,27213804.6
2018-04-21,20171231,417,合并报表,213148025.9
2018-03-13,20171231,418,合并报表,1506412505.22
2018-04-14,20171231,419,合并报表,127931331.72
2018-02-27,20171231,420,合并报表,85594136.0
2018-03-22,20171231,421,合并报表,148521217.61
2018-04-21,20171231,422,合并报表,-5090695151.15
2018-03-16,20171231,423,合并报表,2044352503.41
2018-04-28,20171231,425,合并报表,1020617730.33
2018-04-28,20171231,426,合并报表,564985327.55
2018-04-27,20171231,428,合并报表,108962100.88
2018-03-28,20171231,429,合并报表,1509922398.7
2018-04-03,20171231,430,合并报表,67362245.89
2018-03-28,20171231,488,合并报表,3769325450.93
2018-04-25,20171231,498,合并报表,576056830.9
2018-04-28,20171231,501,合并报表,1241339841.59
2018-03-30,20171231,502,合并报表,-83260766.15
2018-04-21,20171231,503,合并报表,16674851.14
2018-04-28,20171231,504,合并报表,-37119370.19
2018-04-13,20171231,505,合并报表,129603167.36
2018-04-27,20171231,506,合并报表,-449133780.73
2018-03-20,20171231,507,合并报表,140607984.76
2018-04-17,20171231,509,合并报表,12505950.02
2018-04-04,20171231,510,合并报表,67523563.62
2018-04-28,20171231,511,合并报表,119736954.93
2018-03-24,20171231,513,合并报表,4428684564.57
2018-03-10,20171231,514,合并报表,80796667.87
2018-03-31,20171231,516,合并报表,198390800.19
2018-03-28,20171231,517,合并报表,541755811.97
2018-04-28,20171231,518,合并报表,7288394.73
2018-04-20,20171231,519,合并报表,126009188.15
2018-04-25,20171231,520,合并报表,50819846.51
2018-03-30,20171231,521,合并报表,32473204.92
2018-04-25,20171231,523,合并报表,39973024.57
2018-04-18,20171231,524,合并报表,177359289.29
2018-04-10,20171231,525,合并报表,713841677.3
2018-04-10,20171231,526,合并报表,24380907.51
2018-04-03,20171231,528,合并报表,322930042.48
2018-04-20,20171231,529,合并报表,155322655.21
2018-04-21,20171231,530,合并报表,200759820.17
2018-03-31,20171231,531,合并报表,184239635.8
2018-04-26,20171231,532,合并报表,48284835.85
2018-04-14,20171231,533,合并报表,38189966.72
2018-04-27,20171231,534,合并报表,89471482.81
2018-04-28,20171231,535,合并报表,242613158.35
2018-03-03,20171231,536,合并报表,204984864.14
2018-03-21,20171231,537,合并报表,2171791437.7
2018-04-12,20171231,538,合并报表,3144981429.6
2018-04-28,20171231,539,合并报表,743180431.0
2018-04-04,20171231,540,合并报表,2081549350.87
2018-03-30,20171231,541,合并报表,740308725.3
2018-03-24,20171231,543,合并报表,132054306.12
2018-03-31,20171231,544,合并报表,322353535.83
2018-04-20,20171231,545,合并报表,165827783.16
2018-04-17,20171231,546,合并报表,350838798.15
2018-04-04,20171231,547,合并报表,276125795.26
2018-04-21,20171231,548,合并报表,130400036.86
2018-03-24,20171231,550,合并报表,690938249.0
2018-03-30,20171231,551,合并报表,66431552.62
2018-03-27,20171231,552,合并报表,552210986.07
2018-03-29,20171231,553,合并报表,1545879000.0
2018-04-25,20171231,554,合并报表,2678983.42
2018-03-29,20171231,555,合并报表,302642281.64
2018-04-27,20171231,556,合并报表,8289745.72
2018-03-22,20171231,557,合并报表,86994814.66
2018-04-28,20171231,558,合并报表,28502095.21
2018-03-30,20171231,559,合并报表,881512801.38
2018-04-26,20171231,560,合并报表,72890641.65
2018-04-10,20171231,561,合并报表,69703779.46
2018-04-21,20171231,563,合并报表,352236506.88
2018-04-28,20171231,564,合并报表,1414520857.98
2018-03-21,20171231,565,合并报表,81125365.92
2018-04-24,20171231,566,合并报表,86626637.68
2018-04-28,20171231,567,合并报表,73268328.29
2018-04-11,20171231,568,合并报表,2557944598.97
2018-04-13,20171231,570,合并报表,46431302.73
2018-04-27,20171231,571,合并报表,21392486.12
2018-04-03,20171231,572,合并报表,-994359087.45
2018-04-14,20171231,573,合并报表,35465406.81
2018-03-24,20171231,576,合并报表,-283051397.88
2018-04-17,20171231,581,合并报表,2571339490.04
2018-03-13,20171231,582,合并报表,541337681.39
2018-03-31,20171231,583,合并报表,-71166557.95
2018-04-16,20171231,584,合并报表,90047841.33
2018-03-30,20171231,585,合并报表,-397057643.19
2018-04-10,20171231,586,合并报表,814913.97
2018-04-27,20171231,587,合并报表,1021566359.17
2018-04-27,20171231,588,合并报表,11348536.24
2018-04-28,20171231,589,合并报表,-221691547.63
2018-03-31,20171231,590,合并报表,19173756.94
2018-03-30,20171231,591,合并报表,804668641.91
2018-04-28,20171231,592,合并报表,5971127.8
2018-04-28,20171231,593,合并报表,24107697.43
2018-03-23,20171231,594,合并报表,-30679866.6
2018-04-28,20171231,595,合并报表,18742523.49
2018-04-28,20171231,596,合并报表,1148740644.93
2018-04-28,20171231,597,合并报表,118995323.6
2018-04-12,20171231,598,合并报表,895746910.67
2018-04-28,20171231,599,合并报表,109281862.97
2018-03-28,20171231,600,合并报表,168388319.57
2018-04-27,20171231,601,合并报表,445753908.53
2018-04-25,20171231,603,合并报表,283143763.79
2018-04-27,20171231,605,合并报表,113138457.7
2018-04-14,20171231,606,合并报表,64215586.67
2018-04-21,20171231,607,合并报表,146809823.33
2018-03-17,20171231,608,合并报表,152365000.0
2018-04-11,20171231,609,合并报表,134398552.76
2018-03-28,20171231,610,合并报表,-18562306.89
2018-04-27,20171231,611,合并报表,-21527840.65
2018-03-29,20171231,612,合并报表,175731126.68
2018-02-01,20171231,613,合并报表,2858998.66
2018-03-28,20171231,615,合并报表,309224526.97
2018-04-27,20171231,616,合并报表,12536265.56
2018-04-12,20171231,617,合并报表,6842540372.67
2018-03-22,20171231,619,合并报表,9031525.6
2018-04-25,20171231,620,合并报表,857246228.7
2018-04-25,20171231,622,合并报表,-27386209.95
2018-03-31,20171231,623,合并报表,1863471361.46
2018-04-18,20171231,625,合并报表,7137234723.47
2018-04-28,20171231,626,合并报表,-192637719.73
2018-04-28,20171231,627,合并报表,1326164178.53
2018-03-24,20171231,628,合并报表,24397228.16
2018-03-20,20171231,629,合并报表,863282017.2
2018-04-13,20171231,630,合并报表,548816738.66
2018-03-27,20171231,631,合并报表,765040341.37
2018-04-10,20171231,632,合并报表,24548727.64
2018-04-18,20171231,633,合并报表,-23709043.46
2018-03-28,20171231,635,合并报表,93312954.44
2018-04-28,20171231,636,合并报表,246848779.61
2018-04-24,20171231,637,合并报表,99377915.67
2018-04-28,20171231,638,合并报表,16163867.49
2018-04-28,20171231,639,合并报表,343273683.04
2018-04-25,20171231,650,合并报表,380226696.71
2018-04-26,20171231,651,合并报表,22401576204.94
2018-03-15,20171231,652,合并报表,298099262.98
2018-04-12,20171231,655,合并报表,-316293533.76
2018-04-17,20171231,656,合并报表,2004605156.41
2018-04-20,20171231,657,合并报表,128072205.52
2018-04-20,20171231,658,合并报表,534055823.07
2018-03-23,20171231,659,合并报表,93969583.37
2018-04-27,20171231,660,合并报表,45421246.7
2018-02-09,20171231,661,合并报表,661948769.32
2018-03-29,20171231,662,合并报表,574174514.36
2018-04-26,20171231,663,合并报表,68753085.45
2018-04-12,20171231,665,合并报表,335285516.25
2018-03-24,20171231,666,合并报表,1200205130.7
2018-04-21,20171231,667,合并报表,664382372.78
2018-04-25,20171231,668,合并报表,10383762.72
2018-04-28,20171231,669,合并报表,239631229.82
2018-04-24,20171231,670,合并报表,-330976597.17
2018-04-14,20171231,671,合并报表,2061965489.09
2018-04-27,20171231,672,合并报表,791774083.55
2018-04-28,20171231,673,合并报表,109673219.61
2018-04-28,20171231,675,合并报表,-55499755.41
2018-04-27,20171231,676,合并报表,527325402.7
2018-03-30,20171231,677,合并报表,1931663.38
2018-04-26,20171231,678,合并报表,11572817.08
2018-04-28,20171231,679,合并报表,13056179.49
2018-04-17,20171231,680,合并报表,63788458.92
2018-04-24,20171231,681,合并报表,290820917.16
2018-04-12,20171231,682,合并报表,63517662.53
2018-02-28,20171231,683,合并报表,711511011.43
2018-04-21,20171231,685,合并报表,1066931157.38
2018-03-30,20171231,686,合并报表,666946558.98
2018-04-27,20171231,687,合并报表,131008640.29
2018-04-20,20171231,688,合并报表,412393597.99
2018-04-24,20171231,689,合并报表,-54155438.27
2018-04-28,20171231,690,合并报表,103137656.1
2018-04-11,20171231,691,合并报表,-8600632.59
2018-04-28,20171231,692,合并报表,-66597107.08
2018-06-29,20171231,693,合并报表,-2287795215.82
2018-03-16,20171231,695,合并报表,9748373.31
2018-04-03,20171231,697,合并报表,57893244.41
2018-03-30,20171231,698,合并报表,224848742.87
2018-09-01,20171231,699,合并报表,2665484046.56
2018-04-26,20171231,700,合并报表,134464860.97
2018-04-28,20171231,701,合并报表,69469696.62
2018-04-04,20171231,702,合并报表,16113256.79
2018-04-23,20171231,703,合并报表,1621989576.81
2018-03-30,20171231,705,合并报表,61082490.36
2018-04-27,20171231,707,合并报表,-746258426.86
2018-03-08,20171231,708,合并报表,394900713.81
2018-04-20,20171231,709,合并报表,1817062368.93
2018-04-12,20171231,710,合并报表,232749588.92
2018-04-27,20171231,711,合并报表,289292396.12
2018-03-22,20171231,712,合并报表,194283167.21
2018-04-18,20171231,713,合并报表,11657551.56
2018-03-23,20171231,715,合并报表,84576880.11
2018-04-24,20171231,716,合并报表,111071068.78
2018-03-06,20171231,717,合并报表,2516547383.11
2018-04-20,20171231,718,合并报表,1147761522.55
2018-03-29,20171231,719,合并报表,693222088.24
2018-04-20,20171231,720,合并报表,-548956345.36
2018-03-28,20171231,721,合并报表,-11252881.99
2018-03-31,20171231,722,合并报表,89008111.18
2018-04-03,20171231,723,合并报表,1064930432.22
2018-04-24,20171231,725,合并报表,7567682493.0
2018-04-17,20171231,726,合并报表,841150934.75
2018-03-28,20171231,727,合并报表,11646221.84
2018-03-28,20171231,728,合并报表,1203746140.88
2018-04-28,20171231,729,合并报表,161348235.04
2018-04-20,20171231,730,合并报表,34119580.3
2018-03-27,20171231,731,合并报表,155603301.59
2018-04-25,20171231,732,合并报表,2124469202.25
2018-04-17,20171231,733,合并报表,203626878.81
2018-04-21,20171231,735,合并报表,152965189.18
2018-04-12,20171231,736,合并报表,617165221.61
2018-02-13,20171231,737,合并报表,-420581661.94
2018-03-27,20171231,738,合并报表,217639976.96
2018-03-10,20171231,739,合并报表,256592089.41
2018-04-21,20171231,750,合并报表,375760243.11
2018-04-21,20171231,751,合并报表,216247003.84
2018-04-26,20171231,752,合并报表,9523725.85
2018-04-14,20171231,753,合并报表,85069878.68
2018-04-28,20171231,755,合并报表,106104707.38
2018-03-26,20171231,756,合并报表,209591907.23
2018-03-16,20171231,757,合并报表,47095174.43
2018-04-24,20171231,758,合并报表,200980863.92
2018-03-28,20171231,759,合并报表,67646166.44
2018-04-26,20171231,760,合并报表,-168942519.78
2018-04-20,20171231,761,合并报表,1600110229.77
2018-04-24,20171231,762,合并报表,34543777.85
2018-04-28,20171231,765,合并报表,123453561.1
2018-04-20,20171231,766,合并报表,257879255.54
2018-04-26,20171231,767,合并报表,-1556351364.97
2018-03-13,20171231,768,合并报表,471401712.83
2018-06-16,20171231,769,合并报表,-5540027.43
2018-03-24,20171231,776,合并报表,8595399060.76
2018-03-27,20171231,777,合并报表,44560926.65
2018-04-10,20171231,778,合并报表,1093031785.37
2018-03-09,20171231,779,合并报表,79250626.74
2018-04-11,20171231,780,合并报表,483797872.03
2018-03-06,20171231,782,合并报表,35000982.43
2018-04-26,20171231,783,合并报表,1545112374.32
2018-03-31,20171231,785,合并报表,357535294.19
2018-03-17,20171231,786,合并报表,2343985433.41
2018-04-14,20171231,787,合并报表,282464292.32
2018-04-21,20171231,788,合并报表,34261005.09
2018-03-30,20171231,789,合并报表,462628211.17
2018-03-06,20171231,790,合并报表,171667021.23
2018-04-19,20171231,791,合并报表,246147345.97
2018-03-31,20171231,792,合并报表,-4159237936.36
2018-04-28,20171231,793,合并报表,277104888.34
2018-03-09,20171231,795,合并报表,102749259.92
2018-04-26,20171231,796,合并报表,220699435.5
2018-04-25,20171231,797,合并报表,249757938.61
2018-03-30,20171231,798,合并报表,54250588.34
2018-03-09,20171231,799,合并报表,176098749.52
2018-03-31,20171231,800,合并报表,281236836.76
2018-04-18,20171231,801,合并报表,7285437.03
2018-03-06,20171231,802,合并报表,310333510.41
2018-02-28,20171231,803,合并报表,16841438.37
2018-04-28,20171231,805,合并报表,21282802.5
2018-04-28,20171231,806,合并报表,9552612.25
2018-03-20,20171231,807,合并报表,657000965.36
2018-04-16,20171231,809,合并报表,101106840.27
2018-03-23,20171231,810,合并报表,94335732.74
2018-04-11,20171231,811,合并报表,314468217.97
2018-03-23,20171231,812,合并报表,27171269.56
2018-04-21,20171231,813,合并报表,797177693.48
2018-04-23,20171231,815,合并报表,25497783.75
2018-04-26,20171231,816,合并报表,-266076436.22
2018-02-27,20171231,818,合并报表,255541980.85
2018-03-27,20171231,819,合并报表,-9850583.24
2018-04-28,20171231,820,合并报表,159431111.19
2018-04-21,20171231,821,合并报表,153224480.3
2018-03-07,20171231,822,合并报表,685188745.71
2018-04-21,20171231,823,合并报表,191908277.74
