实际净利润公告日期,实际净利润报告期,交易代码,报表类型,净利润
2012-03-09,20101231,000001,母公司报表,6246537000.0
2012-03-09,20101231,000001,母公司报表(单季度),1528325000.0
2012-03-09,20101231,000001,母公司报表(单季度调整),1528325000.0
2012-03-09,20101231,000001,合并报表(单季度调整),1528325000.0
2012-03-09,20101231,000001,合并报表(调整),6246537000.0
2012-03-09,20101231,000001,母公司报表(调整),6246537000.0
2011-02-25,20101231,000001,合并报表,6283816000.0
2011-02-25,20101231,000001,合并报表(单季度),1549876000.0
2011-03-08,20101231,000002,合并报表,7283127039.15
2011-03-08,20101231,000002,母公司报表(单季度),40946798.12
2011-03-08,20101231,000002,合并报表(单季度),4011123130.7
2011-03-08,20101231,000002,母公司报表,3083108153.24
2012-03-13,20101231,000002,母公司报表(单季度调整),40946798.12
2012-03-13,20101231,000002,合并报表(调整),7283127039.15
2012-03-13,20101231,000002,母公司报表(调整),3083108153.24
2012-03-13,20101231,000002,合并报表(单季度调整),4011123130.7
2012-04-26,20101231,000003,母公司报表(调整),-4366718.66
2012-04-26,20101231,000003,合并报表(调整),-17014527.26
2011-04-28,20101231,000003,合并报表,-17014527.26
2011-04-28,20101231,000003,母公司报表,-4366718.66
2012-04-21,20101231,000004,合并报表(单季度调整),2157020.76
2012-04-21,20101231,000004,合并报表(调整),11624092.32
2012-04-21,20101231,000004,母公司报表(调整),-2600589.21
2012-04-21,20101231,000004,母公司报表(单季度调整),-1110641.81
2011-04-23,20101231,000004,合并报表,11624092.32
2011-04-23,20101231,000004,母公司报表,-2600589.21
2011-04-23,20101231,000004,母公司报表(单季度),-1110641.81
2011-04-23,20101231,000004,合并报表(单季度),2157020.76
2011-04-30,20101231,000005,合并报表(单季度),22098417.03
2012-04-24,20101231,000005,合并报表(单季度调整),22098417.03
2012-04-24,20101231,000005,母公司报表(单季度调整),24725205.86
2011-04-30,20101231,000005,合并报表,-4426387.1
2011-04-30,20101231,000005,母公司报表(单季度),34040159.82
2012-04-24,20101231,000005,合并报表(调整),-4426387.1
2012-04-24,20101231,000005,母公司报表(调整),15249321.14
2011-04-30,20101231,000005,合并报表(更正前),4888566.86
2011-04-30,20101231,000005,母公司报表,24564275.1
2011-03-31,20101231,000006,母公司报表(单季度),125781284.46
2011-03-31,20101231,000006,合并报表(单季度),349968726.8
2011-03-31,20101231,000006,合并报表,481552496.42
2011-03-31,20101231,000006,母公司报表,271184822.82
2012-04-18,20101231,000006,合并报表(调整),481552496.42
2012-04-18,20101231,000006,母公司报表(调整),271184822.82
2012-04-18,20101231,000006,合并报表(单季度调整),349968726.8
2012-04-18,20101231,000006,母公司报表(单季度调整),125781284.46
2011-04-23,20101231,000007,合并报表,11856458.94
2011-04-23,20101231,000007,母公司报表(单季度),6374085.47
2011-04-23,20101231,000007,母公司报表,-10896850.89
2011-04-23,20101231,000007,合并报表(单季度),17189716.71
2012-02-23,20101231,000007,母公司报表(单季度调整),6374085.47
2012-02-23,20101231,000007,合并报表(调整),11856458.94
2012-02-23,20101231,000007,合并报表(单季度调整),17189716.71
2012-02-23,20101231,000007,母公司报表(调整),-10896850.89
2011-02-25,20101231,000008,合并报表(单季度),801238.59
2011-02-25,20101231,000008,合并报表,888948.26
2011-02-25,20101231,000008,母公司报表,888948.26
2011-02-25,20101231,000008,母公司报表(单季度),801238.59
2012-03-03,20101231,000008,母公司报表(单季度调整),801238.59
2012-03-03,20101231,000008,合并报表(调整),888948.26
2012-03-03,20101231,000008,母公司报表(调整),888948.26
2012-03-03,20101231,000008,合并报表(单季度调整),801238.59
2011-03-23,20101231,000009,母公司报表(单季度),-27852813.56
2011-03-23,20101231,000009,合并报表(单季度),72516048.48
