预测日期,报告期,交易代码,预测净利润,预测机构,分析师姓名
20121127,20121231,000001,13556000000.0,中金公司,罗景
20121204,20121231,000001,12178000000.0,申银万国,倪军
20121105,20121231,000002,11556000000.0,中投证券,李少明
20121106,20121231,000002,12110000000.0,申银万国,殷姿
20121106,20121231,000002,12323000000.0,瑞银证券,孙旭
20121106,20121231,000002,12260000000.0,中信证券,陈聪
20121106,20121231,000002,12872000000.0,海通证券,涂力磊
20121106,20121231,000002,12338000000.0,东北证券,高建
20121107,20121231,000002,12691000000.0,国泰君安,李品科
20121113,20121231,000002,10966000000.0,招商证券,贾祖国
20121204,20121231,000002,12659600000.0,银河证券,赵强
20121204,20121231,000002,13192000000.0,北京高华证券,王逸
20121205,20121231,000002,12770000000.0,招商证券,贾祖国
20121205,20121231,000002,12110000000.0,申银万国,殷姿
20121205,20121231,000002,12346000000.0,瑞银证券,李宗彬
20121205,20121231,000002,12260000000.0,中信证券,陈聪
20121205,20121231,000002,11556000000.0,中投证券,李少明
20121210,20121231,000002,12690000000.0,国泰君安,李品科
20121220,20121231,000002,11508000000.0,中金公司,宁静鞭
20121123,20121231,000006,504000000.0,长城证券,苏绪盛
20121106,20121231,000012,329000000.0,东方证券,鲍雁辛
20121224,20121231,000012,271000000.0,华泰证券,周焕
20121221,20121231,000016,198000000.0,西南证券,李辉
20121219,20121231,000021,77530000.0,信达证券,边铁城
20121125,20121231,000024,3364000000.0,中投证券,李少明
20121126,20121231,000024,3471000000.0,中信证券,陈聪
20121204,20121231,000024,3237400000.0,北京高华证券,李薇
20121217,20121231,000024,3295000000.0,国泰君安,李品科
20121219,20121231,000024,3209000000.0,招商证券,贾祖国
20121220,20121231,000024,3140000000.0,中金公司,宁静鞭
20121220,20121231,000024,3295000000.0,国都证券,张崴
20121119,20121231,000026,140000000.0,国海证券,刘金沪
20121128,20121231,000027,996870000.0,瑞银证券,徐颖真
20121130,20121231,000028,455000000.0,兴业证券,项军
20121219,20121231,000028,453900000.0,长江证券,刘舒畅
