日期,收盘价
1/5/09,2020.243
1/6/09,2091.892
1/7/09,2104.922
1/8/09,2052.3
1/9/09,2107.766
1/12/09,2137.841
1/13/09,2081.672
1/14/09,2160.064
1/15/09,2181.061
1/16/09,2195.634
1/19/09,2192.807
1/20/09,2214.839
1/21/09,2217.626
1/22/09,2256.367
1/23/09,2238.082
2/2/09,2306.769
2/3/09,2369.654
2/4/09,2423.887
2/5/09,2384.764
2/6/09,2493.74
2/9/09,2579.228
2/10/09,2653.213
2/11/09,2658.05
2/12/09,2707.922
2/13/09,2805.01
2/16/09,2854.444
2/17/09,2738.58
2/18/09,2632.908
2/19/09,2687.489
2/20/09,2776.955
2/23/09,2871.792
2/24/09,2754.24
2/25/09,2771.098
2/26/09,2571.276
2/27/09,2416.949
3/2/09,2478.808
3/3/09,2499.826
3/4/09,2651.405
3/5/09,2671.575
3/6/09,2653.469
3/9/09,2536.01
3/10/09,2601.417
3/11/09,2587.371
3/12/09,2597.232
3/13/09,2569.629
3/16/09,2603.058
3/17/09,2699.594
3/18/09,2734.547
3/19/09,2797.155
3/20/09,2784.106
3/23/09,2843.879
3/24/09,2865.333
3/25/09,2785.664
3/26/09,2853.411
3/27/09,2877.88
3/30/09,2883.214
3/31/09,2914.128
4/1/09,2962.839
4/2/09,2965.735
4/3/09,2934.253
4/7/09,2968.519
4/8/09,2867.168
4/9/09,2915.024
4/10/09,3009.376
4/13/09,3050.372
4/14/09,3099.429
4/15/09,3143.821
4/16/09,3159.26
4/17/09,3119.419
4/20/09,3205.884
4/21/09,3205.076
4/22/09,3042.638
4/23/09,3059.709
4/24/09,3036.761
4/27/09,2916.114
4/28/09,2959.952
4/29/09,3040.04
4/30/09,3086.217
5/4/09,3190.254
5/5/09,3220.615
5/6/09,3264.579
5/7/09,3242.626
5/8/09,3257.588
5/11/09,3134.573
5/12/09,3212.139
5/13/09,3234.151
5/14/09,3246.557
5/15/09,3270.738
5/18/09,3295.651
5/19/09,3325.531
5/20/09,3306.474
5/21/09,3247.475
5/22/09,3254.534
5/25/09,3271.501
5/26/09,3274.849
5/27/09,3276.748
6/1/09,3332.337
6/2/09,3353.922
6/3/09,3380.188
6/4/09,3375.873
6/5/09,3355.778
6/8/09,3350.238
6/9/09,3366.911
6/10/09,3403.208
6/11/09,3382.997
6/12/09,3309.587
6/15/09,3356.714
6/16/09,3349.35
6/17/09,3403.962
6/18/09,3431.281
6/19/09,3434.055
6/22/09,3405.13
6/23/09,3392.112
6/24/09,3431.444
6/25/09,3427.473
6/26/09,3448.461
6/29/09,3476.788
6/30/09,3452.263
7/1/09,3503.754
7/2/09,3540.509
7/3/09,3584.858
7/6/09,3592.64
7/7/09,3589.187
7/8/09,3633.433
7/9/09,3701.79
7/10/09,3719.97
7/13/09,3754.344
7/14/09,3813.876
7/15/09,3848.632
7/16/09,3829.207
7/17/09,3852.863
7/20/09,3919.426
7/21/09,3824.288
7/22/09,3894.563
7/23/09,3933.113
7/24/09,3907.967
7/27/09,3972.644
7/28/09,4022.91
7/29/09,3764.64
7/30/09,3803.124
7/31/09,3928.584
8/3/09,4020.266
8/4/09,4069.346
8/5/09,4069.338
8/6/09,4015.421
8/7/09,3893.125
8/10/09,3933.047
8/11/09,3953.293
8/12/09,3770.137
8/13/09,3778.14
8/14/09,3609.698
8/17/09,3358.103
8/18/09,3424.775
8/19/09,3247.526
8/20/09,3374.351
8/21/09,3468.042
8/24/09,3541.804
8/25/09,3485.924
8/26/09,3595.115
8/27/09,3629.513
8/28/09,3531.41
8/31/09,3277.997
9/1/09,3245.274
9/2/09,3265.074
