交易代码,机构名称,分析师名称,评级日期,评级有效期截止日,本次评级,前次评级,类型名称,分类
2,安信证券,徐胜利,2012-03-13,20120913.0,买入,增持,调高,评级变动方向
2,新时代证券,裴明华,2012-04-09,20121009.0,买入,,调高,评级变动方向
24,安信证券,徐胜利,2012-03-20,20120920.0,买入,增持,调高,评级变动方向
24,新时代证券,裴明华,2012-04-23,20121023.0,买入,,调高,评级变动方向
24,北京高华证券,李薇,2012-12-04,20131204.0,买入,中性,调高,评级变动方向
50,广发证券,惠毓伦,2012-02-29,20130228.0,买入,持有,调高,评级变动方向
157,北京高华证券,陆天,2012-04-05,20130405.0,买入,,调高,评级变动方向
338,安信证券,张龙,2012-12-11,20130611.0,买入,,调高,评级变动方向
400,广发证券,韩玲,2012-08-16,20130816.0,买入,持有,调高,评级变动方向
401,瑞银证券,密叶舟,2012-08-01,20130801.0,买入,中性,调高,评级变动方向
417,国金证券,黄挺,2012-12-10,20131210.0,买入,增持,调高,评级变动方向
423,群益证券,黎莹,2012-10-25,20130425.0,买入,,调高,评级变动方向
430,国海证券,刘金沪,2012-12-13,20130613.0,买入,,调高,评级变动方向
501,民族证券,张丽华,2012-06-20,20121220.0,买入,,调高,评级变动方向
527,国金证券,王晓莹,2012-08-26,20130826.0,买入,增持,调高,评级变动方向
527,华泰证券,张洪道,2012-10-29,20130429.0,买入,,调高,评级变动方向
538,财富里昂,周恩旭,2012-12-06,20131206.0,买入,,调高,评级变动方向
550,中银国际,王玉笙,2012-08-28,20130228.0,买入,持有,调高,评级变动方向
568,海通证券,赵勇,2012-01-10,20120710.0,买入,,调高,评级变动方向
581,中银国际,胡文洲,2012-12-05,20130605.0,买入,持有,调高,评级变动方向
619,中信证券,曾豪,2012-08-23,20130223.0,买入,,调高,评级变动方向
625,兴业证券,聂清廉,2012-08-29,20130829.0,买入,,调高,评级变动方向
625,信达证券,邢海芝,2012-09-07,20130307.0,买入,持有,调高,评级变动方向
625,海通证券,赵晨曦,2012-10-19,20130419.0,买入,,调高,评级变动方向
629,山西证券,刘俊清,2012-09-28,20130328.0,买入,,调高,评级变动方向
630,广发证券,肖征,2012-04-26,20130426.0,买入,持有,调高,评级变动方向
639,华泰证券,蒋小东,2012-10-17,20130417.0,买入,,调高,评级变动方向
651,国金证券,王晓莹,2012-08-24,20130824.0,买入,增持,调高,评级变动方向
651,华泰证券,张洪道,2012-10-12,20130412.0,买入,,调高,评级变动方向
665,北京高华证券,廖绪发,2012-07-12,20130712.0,买入,中性,调高,评级变动方向
683,宏源证券,祖广平,2012-02-06,20120806.0,买入,,调高,评级变动方向
690,中信证券,吴非,2012-02-27,20120827.0,买入,,调高,评级变动方向
716,光大证券,林玉红,2012-06-05,20130605.0,买入,增持,调高,评级变动方向
728,中信建投,魏涛,2012-03-20,20120920.0,买入,,调高,评级变动方向
732,宏源证券,祖广平,2012-06-29,20121229.0,买入,,调高,评级变动方向
758,广发证券,肖征,2012-04-17,20130417.0,买入,持有,调高,评级变动方向
776,宏源证券,黄立军,2012-08-27,20130227.0,买入,,调高,评级变动方向
778,安信证券,衡昆,2012-03-20,20120920.0,买入,增持,调高,评级变动方向
785,光大证券,唐佳睿,2012-01-05,20130105.0,买入,增持,调高,评级变动方向
786,广发证券,邹戈,2012-10-28,20131028.0,买入,持有,调高,评级变动方向
792,北京高华证券,金俊,2012-09-28,20130928.0,买入,中性,调高,评级变动方向
799,申银万国,童驯,2012-04-05,20121005.0,买入,,调高,评级变动方向
799,瑞银证券,王鹏,2012-07-31,20130731.0,买入,中性,调高,评级变动方向
800,群益证券,韩伟琪,2012-02-14,20120814.0,买入,中性,调高,评级变动方向
830,安信证券,刘军,2012-04-25,20121025.0,买入,增持,调高,评级变动方向
848,中信建投,黄付生,2012-05-29,20121129.0,买入,,调高,评级变动方向
858,光大证券,李婕,2012-07-08,20130708.0,买入,,调高,评级变动方向
876,中信证券,施亮,2012-12-12,20130612.0,买入,,调高,评级变动方向
888,安信证券,衡昆,2012-04-26,20121026.0,买入,增持,调高,评级变动方向
898,中银国际,乐宇坤,2012-02-02,20120802.0,买入,持有,调高,评级变动方向
898,瑞银证券,孙旭,2012-05-08,20130508.0,买入,中性,调高,评级变动方向
901,国海证券,马金良,2012-07-24,20130124.0,买入,,调高,评级变动方向
915,齐鲁证券,胡德军,2012-04-22,20130422.0,买入,增持,调高,评级变动方向
926,中原证券,吴剑雄,2012-07-09,20130109.0,买入,增持,调高,评级变动方向
937,广发证券,沈涛,2012-04-24,20130424.0,买入,卖出,调高,评级变动方向
937,申银万国,刘晓宁,2012-07-02,20130102.0,买入,,调高,评级变动方向
937,光大证券,张力扬,2012-08-22,20130822.0,买入,增持,调高,评级变动方向
951,中银国际,胡文洲,2012-12-05,20130605.0,买入,持有,调高,评级变动方向
961,北京高华证券,孙贤兵,2012-03-08,20130308.0,买入,中性,调高,评级变动方向
968,申银万国,刘晓宁,2012-05-10,20121110.0,买入,增持,调高,评级变动方向
970,安信证券,叶鑫,2012-04-10,20121010.0,买入,增持,调高,评级变动方向
998,宏源证券,胡建军,2012-04-19,20121019.0,买入,,调高,评级变动方向
2007,国金证券,李敬雷,2012-11-19,20131119.0,买入,增持,调高,评级变动方向
2014,申银万国,周海晨,2012-06-05,20121205.0,买入,,调高,评级变动方向
2014,中信建投,张朝晖,2012-08-03,20130203.0,买入,,调高,评级变动方向
2023,方正证券,张远德,2012-04-08,20121008.0,买入,,调高,评级变动方向
2024,华泰证券,耿焜,2012-07-09,20130109.0,买入,,调高,评级变动方向
2028,东方证券,曾朵红,2012-01-18,20130118.0,买入,,调高,评级变动方向
2029,华泰证券,高国,2012-10-12,20130412.0,买入,,调高,评级变动方向
2033,北京高华证券,廖绪发,2012-06-07,20130607.0,买入,中性,调高,评级变动方向
2033,安信证券,董云翔,2012-07-12,20130112.0,买入,增持,调高,评级变动方向
2033,光大证券,林玉红,2012-08-10,20130810.0,买入,增持,调高,评级变动方向
2035,西南证券,李辉,2012-08-08,20130208.0,买入,,调高,评级变动方向
2038,安信证券,吴永强,2012-08-14,20130214.0,买入,增持,调高,评级变动方向
2041,海通证券,丁频,2012-10-25,20130425.0,买入,,调高,评级变动方向
2050,广发证券,袁浩然,2012-01-03,20130103.0,买入,持有,调高,评级变动方向
2051,中信建投,郑军,2012-04-05,20121005.0,买入,,调高,评级变动方向
2055,广发证券,惠毓伦,2012-04-23,20130423.0,买入,持有,调高,评级变动方向
2063,海通证券,陈美风,2012-02-16,20120816.0,买入,增持,调高,评级变动方向
2068,光大证券,王席鑫,2012-02-29,20130228.0,买入,,调高,评级变动方向
2069,光大证券,李婕,2012-03-27,20130327.0,买入,增持,调高,评级变动方向
2081,国海证券,刘金沪,2012-11-19,20130519.0,买入,,调高,评级变动方向
2084,光大证券,姜浩,2012-02-29,20130228.0,买入,,调高,评级变动方向
2089,华泰证券,马仁敏,2012-02-29,20120831.0,买入,,调高,评级变动方向
2089,光大证券,周励谦,2012-07-05,20130705.0,买入,增持,调高,评级变动方向
2108,华泰证券,吴剑平,2012-10-23,20130423.0,买入,增持,调高,评级变动方向
2123,海通证券,牛品,2012-04-05,20121005.0,买入,,调高,评级变动方向
2123,中信建投,徐超,2012-08-17,20130217.0,买入,,调高,评级变动方向
2138,国金证券,程兵,2012-12-24,20131224.0,买入,增持,调高,评级变动方向
2140,安信证券,李孔逸,2012-08-07,20130207.0,买入,增持,调高,评级变动方向
2161,广发证券,黄亚森,2012-10-17,20131017.0,买入,持有,调高,评级变动方向
2177,申银万国,万建军,2012-02-28,20120828.0,买入,,调高,评级变动方向
2177,信达证券,边铁城,2012-06-21,20121221.0,买入,,调高,评级变动方向
2179,中信建投,高晓春,2012-12-26,20130626.0,买入,,调高,评级变动方向
2186,安信证券,董云翔,2012-08-21,20130221.0,买入,增持,调高,评级变动方向
2216,中原证券,刘冉,2012-01-19,20120719.0,买入,,调高,评级变动方向
2241,申银万国,张騄,2012-10-08,20130408.0,买入,,调高,评级变动方向
2245,中信证券,刘正,2012-03-19,20120919.0,买入,增持,调高,评级变动方向
2251,中信证券,赵雪芹,2012-03-05,20120905.0,买入,,调高,评级变动方向
2264,北京高华证券,胡维波,2012-11-20,20131120.0,买入,,调高,评级变动方向
2271,广发证券,邹戈,2012-06-05,20130605.0,买入,持有,调高,评级变动方向
2273,国信证券,段迎晟,2012-08-15,20130215.0,买入,,调高,评级变动方向
2273,国金证券,程兵,2012-12-21,20131221.0,买入,增持,调高,评级变动方向
2277,中信证券,赵雪芹,2012-01-30,20120730.0,买入,,调高,评级变动方向
2277,安信证券,张静,2012-11-12,20130512.0,买入,增持,调高,评级变动方向
2285,申银万国,殷姿,2012-04-16,20121016.0,买入,增持,调高,评级变动方向
2293,宏源证券,李振亚,2012-11-28,20130528.0,买入,,调高,评级变动方向
2294,光大证券,姚杰,2012-03-20,20130320.0,买入,增持,调高,评级变动方向
2294,申银万国,罗鶄,2012-10-13,20130413.0,买入,,调高,评级变动方向
2296,光大证券,浦俊懿,2012-03-08,20130308.0,买入,,调高,评级变动方向
2296,光大证券,浦俊懿,2012-06-28,20130628.0,买入,增持,调高,评级变动方向
2304,中信证券,黄巍,2012-11-30,20130531.0,买入,,调高,评级变动方向
2309,广发证券,韩玲,2012-07-17,20130717.0,买入,持有,调高,评级变动方向
2318,中信证券,蒋玉姣,2012-03-13,20120913.0,买入,增持,调高,评级变动方向
2318,宏源证券,赵丽明,2012-07-24,20130124.0,买入,,调高,评级变动方向
2318,华泰证券,赵湘鄂,2012-12-05,20130605.0,买入,,调高,评级变动方向
2325,中信证券,杨涛,2012-01-18,20120718.0,买入,增持,调高,评级变动方向
2327,华泰联合,程远,2012-02-07,20120807.0,买入,,调高,评级变动方向
2334,群益证券,赖燊生,2012-03-22,20120922.0,买入,中性,调高,评级变动方向
2340,海通证券,刘彦奇,2012-07-02,20130102.0,买入,,调高,评级变动方向
2350,民族证券,符彩霞,2012-01-16,20120716.0,买入,,调高,评级变动方向
2350,海通证券,牛品,2012-03-27,20120927.0,买入,,调高,评级变动方向
2353,中银国际,许民乐,2012-01-04,20120704.0,买入,持有,调高,评级变动方向
2369,广发证券,彭琦,2012-10-29,20131029.0,买入,持有,调高,评级变动方向
2385,海通证券,丁频,2012-03-06,20120906.0,买入,,调高,评级变动方向
2387,安信证券,李铁,2012-04-25,20121025.0,买入,增持,调高,评级变动方向
2391,宏源证券,柴沁虎,2012-04-30,20121031.0,买入,,调高,评级变动方向
2391,北京高华证券,金俊,2012-05-22,20130522.0,买入,中性,调高,评级变动方向
2396,安信证券,侯利,2012-02-15,20120815.0,买入,增持,调高,评级变动方向
2396,国金证券,陈运红,2012-07-26,20130726.0,买入,增持,调高,评级变动方向
2396,安信证券,王学恒,2012-08-13,20130213.0,买入,增持,调高,评级变动方向
2396,海通证券,陈美风,2012-11-20,20130520.0,买入,,调高,评级变动方向
2397,瑞银证券,王鹏,2012-08-29,20130829.0,买入,中性,调高,评级变动方向
2398,华泰证券,朱勤,2012-04-06,20121006.0,买入,,调高,评级变动方向
2400,北京高华证券,廖绪发,2012-10-08,20131008.0,买入,中性,调高,评级变动方向
2408,华泰证券,吴剑平,2012-02-21,20120821.0,买入,,调高,评级变动方向
2408,西南证券,梁从勇,2012-09-14,20130314.0,买入,,调高,评级变动方向
2410,民族证券,王晓艳,2012-07-20,20130120.0,买入,,调高,评级变动方向
2411,宏源证券,祖广平,2012-03-30,20120930.0,买入,,调高,评级变动方向
2415,光大证券,周励谦,2012-02-20,20130220.0,买入,增持,调高,评级变动方向
2415,安信证券,侯利,2012-07-13,20130113.0,买入,增持,调高,评级变动方向
2419,中信证券,赵雪芹,2012-08-29,20130228.0,买入,,调高,评级变动方向
2419,瑞银证券,彭子姮,2012-09-24,20130924.0,买入,中性,调高,评级变动方向
2422,齐鲁证券,胡德军,2012-06-04,20130604.0,买入,增持,调高,评级变动方向
2428,海通证券,刘彦奇,2012-07-20,20130120.0,买入,,调高,评级变动方向
2429,国金证券,王晓莹,2012-07-01,20130701.0,买入,增持,调高,评级变动方向
2444,宏源证券,庞琳琳,2012-08-28,20130228.0,买入,,调高,评级变动方向
2444,国金证券,罗立波,2012-10-28,20131028.0,买入,增持,调高,评级变动方向
2450,光大证券,王席鑫,2012-07-17,20130717.0,买入,增持,调高,评级变动方向
2456,华泰证券,梁凯,2012-10-23,20130423.0,买入,,调高,评级变动方向
2457,华泰证券,周焕,2012-12-07,20130607.0,买入,,调高,评级变动方向
2465,国金证券,陈运红,2012-12-19,20131219.0,买入,增持,调高,评级变动方向
2466,海通证券,刘博,2012-11-14,20130514.0,买入,,调高,评级变动方向
2470,光大证券,孙琦祥,2012-12-11,20131211.0,买入,增持,调高,评级变动方向
2477,申银万国,王琦,2012-01-11,20120711.0,买入,,调高,评级变动方向
2477,宏源证券,胡建军,2012-03-23,20120923.0,买入,,调高,评级变动方向
2481,国金证券,肖喆,2012-08-27,20130827.0,买入,增持,调高,评级变动方向
2482,中信建投,郑军,2012-06-14,20121214.0,买入,,调高,评级变动方向
2482,华泰证券,黄亦恺,2012-10-25,20130425.0,买入,,调高,评级变动方向
2482,安信证券,李孔逸,2012-12-06,20130606.0,买入,,调高,评级变动方向
2484,中银国际,李鹏,2012-08-24,20130224.0,买入,持有,调高,评级变动方向
2496,宏源证券,张延明,2012-09-30,20130331.0,买入,,调高,评级变动方向
2497,国信证券,吴琳琳,2012-07-16,20130116.0,买入,,调高,评级变动方向
2501,申银万国,叶培培,2012-10-23,20130423.0,买入,,调高,评级变动方向
2507,海通证券,赵勇,2012-04-05,20121005.0,买入,,调高,评级变动方向
2508,国金证券,王晓莹,2012-10-26,20131026.0,买入,增持,调高,评级变动方向
2508,中信证券,胡雅丽,2012-11-19,20130519.0,买入,,调高,评级变动方向
2511,群益证券,张露,2012-08-09,20130209.0,买入,中性,调高,评级变动方向
2520,中原证券,徐敏锋,2012-11-26,20130526.0,买入,,调高,评级变动方向
2526,信达证券,邢海芝,2012-03-21,20120921.0,买入,增持,调高,评级变动方向
2532,光大证券,陆洲,2012-11-02,20131102.0,买入,增持,调高,评级变动方向
2548,广发证券,胡鸿,2012-02-27,20130227.0,买入,持有,调高,评级变动方向
2548,信达证券,康敬东,2012-09-10,20130310.0,买入,持有,调高,评级变动方向
2557,海通证券,赵勇,2012-03-27,20120927.0,买入,,调高,评级变动方向
2565,光大证券,姜浩,2012-09-14,20130914.0,买入,,调高,评级变动方向
2567,方正证券,陈光尧,2012-02-10,20120810.0,买入,,调高,评级变动方向
2568,海通证券,赵勇,2012-07-03,20130103.0,买入,,调高,评级变动方向
2568,华泰证券,张芸,2012-11-22,20130522.0,买入,,调高,评级变动方向
2573,安信证券,彭倩,2012-09-26,20130326.0,买入,增持,调高,评级变动方向
2582,国金证券,陈钢,2012-09-14,20130914.0,买入,增持,调高,评级变动方向
2588,海通证券,曹小飞,2012-04-17,20121017.0,买入,,调高,评级变动方向
2605,国金证券,王晓莹,2012-02-16,20130216.0,买入,持有,调高,评级变动方向
2606,安信证券,黄守宏,2012-09-27,20130327.0,买入,增持,调高,评级变动方向
2611,光大证券,陆洲,2012-03-13,20130313.0,买入,增持,调高,评级变动方向
2612,华泰联合,程远,2012-02-24,20120824.0,买入,,调高,评级变动方向
2612,申银万国,王立平,2012-03-23,20120923.0,买入,,调高,评级变动方向
2649,中信建投,吕江峰,2012-08-20,20130220.0,买入,,调高,评级变动方向
2650,方正证券,陈光尧,2012-05-10,20121110.0,买入,,调高,评级变动方向
2656,华泰证券,程远,2012-10-18,20130418.0,买入,,调高,评级变动方向
2661,华泰证券,张芸,2012-12-05,20130605.0,买入,,调高,评级变动方向
2663,安信证券,李孔逸,2012-07-31,20130131.0,买入,增持,调高,评级变动方向
2668,中原证券,胡铸强,2012-08-27,20130227.0,买入,,调高,评级变动方向
300007,海通证券,龙华,2012-06-07,20121207.0,买入,,调高,评级变动方向
300009,齐鲁证券,胡德军,2012-10-24,20131024.0,买入,增持,调高,评级变动方向
300017,国信证券,段迎晟,2012-03-28,20120928.0,买入,,调高,评级变动方向
300026,齐鲁证券,谢刚,2012-02-29,20130228.0,买入,增持,调高,评级变动方向
300027,宏源证券,张泽京,2012-06-27,20121227.0,买入,,调高,评级变动方向
300027,北京高华证券,廖绪发,2012-12-24,20131224.0,买入,中性,调高,评级变动方向
300034,国海证券,马金良,2012-01-16,20120716.0,买入,,调高,评级变动方向
300034,国海证券,马金良,2012-04-23,20121023.0,买入,,调高,评级变动方向
300043,安信证券,张殚,2012-10-29,20130429.0,买入,增持,调高,评级变动方向
300046,群益证券,陈奇,2012-03-13,20120913.0,买入,,调高,评级变动方向
300047,光大证券,周励谦,2012-08-14,20130814.0,买入,增持,调高,评级变动方向
300054,光大证券,王席鑫,2012-05-14,20130514.0,买入,增持,调高,评级变动方向
300057,光大证券,姜浩,2012-11-11,20131111.0,买入,,调高,评级变动方向
300058,西南证券,潘红敏,2012-03-01,20120901.0,买入,,调高,评级变动方向
300058,中信建投,朱律,2012-04-16,20121016.0,买入,,调高,评级变动方向
300058,海通证券,白洋,2012-09-26,20130326.0,买入,,调高,评级变动方向
300059,齐鲁证券,刘江啸,2012-02-22,20130222.0,买入,增持,调高,评级变动方向
300070,国海证券,杨娟荣,2012-01-16,20120716.0,买入,,调高,评级变动方向
300070,广发证券,张媛媛,2012-07-25,20130725.0,买入,持有,调高,评级变动方向
300083,中信证券,王冠中,2012-11-09,20130509.0,买入,,调高,评级变动方向
300088,宏源证券,李坤阳,2012-04-16,20121016.0,买入,,调高,评级变动方向
300088,宏源证券,王凤华,2012-05-31,20121130.0,买入,,调高,评级变动方向
300088,海通证券,邱春城,2012-08-24,20130224.0,买入,,调高,评级变动方向
300090,中信证券,吴非,2012-10-25,20130425.0,买入,,调高,评级变动方向
300099,安信证券,张仲杰,2012-08-08,20130208.0,买入,增持,调高,评级变动方向
300103,宏源证券,庞琳琳,2012-03-18,20120918.0,买入,,调高,评级变动方向
300110,光大证券,姚杰,2012-03-16,20130316.0,买入,增持,调高,评级变动方向
300113,安信证券,王学恒,2012-08-17,20130217.0,买入,增持,调高,评级变动方向
300119,齐鲁证券,谢刚,2012-03-09,20130309.0,买入,增持,调高,评级变动方向
300123,方正证券,张远德,2012-06-13,20121213.0,买入,,调高,评级变动方向
300133,北京高华证券,廖绪发,2012-05-08,20130508.0,买入,中性,调高,评级变动方向
300133,广发证券,赵宇杰,2012-10-19,20131019.0,买入,持有,调高,评级变动方向
300135,齐鲁证券,李璇,2012-06-26,20130626.0,买入,增持,调高,评级变动方向
300136,海通证券,袁兵兵,2012-03-12,20120912.0,买入,,调高,评级变动方向
300138,方正证券,张保平,2012-09-25,20130325.0,买入,,调高,评级变动方向
300144,方正证券,陈光尧,2012-02-29,20120831.0,买入,,调高,评级变动方向
300144,申银万国,罗少平,2012-03-12,20120912.0,买入,,调高,评级变动方向
300145,国金证券,罗立波,2012-10-26,20131026.0,买入,增持,调高,评级变动方向
300149,广发证券,胡鸿,2012-07-30,20130730.0,买入,持有,调高,评级变动方向
300165,海通证券,龙华,2012-03-07,20120907.0,买入,,调高,评级变动方向
300171,申银万国,罗鶄,2012-07-13,20130113.0,买入,,调高,评级变动方向
300171,安信证券,邹敏,2012-08-01,20130201.0,买入,增持,调高,评级变动方向
300171,海通证券,刘宇,2012-10-26,20130426.0,买入,,调高,评级变动方向
300177,海通证券,陈美风,2012-11-22,20130522.0,买入,,调高,评级变动方向
300180,海通证券,曹小飞,2012-06-12,20121212.0,买入,,调高,评级变动方向
300183,瑞银证券,牟其峥,2012-06-18,20130618.0,买入,中性,调高,评级变动方向
300188,安信证券,胡又文,2012-07-30,20130130.0,买入,增持,调高,评级变动方向
300195,方正证券,张远德,2012-07-28,20130128.0,买入,,调高,评级变动方向
300196,广发证券,邹戈,2012-06-28,20130628.0,买入,持有,调高,评级变动方向
300196,国海证券,代鹏举,2012-10-24,20130424.0,买入,,调高,评级变动方向
300203,光大证券,陈俊鹏,2012-07-31,20130731.0,买入,增持,调高,评级变动方向
300215,中信建投,徐超,2012-07-16,20130116.0,买入,,调高,评级变动方向
300215,天风证券,郭敏,2012-08-24,20130224.0,买入,,调高,评级变动方向
300219,光大证券,周励谦,2012-02-26,20130226.0,买入,增持,调高,评级变动方向
300219,申银万国,余斌,2012-04-12,20121012.0,买入,,调高,评级变动方向
300219,齐鲁证券,林健晖,2012-05-07,20130507.0,买入,增持,调高,评级变动方向
300228,华泰证券,李进,2012-09-10,20130310.0,买入,,调高,评级变动方向
300240,齐鲁证券,李周,2012-10-22,20131022.0,买入,增持,调高,评级变动方向
300241,中信证券,林振民,2012-07-11,20130111.0,买入,,调高,评级变动方向
300241,申银万国,余斌,2012-12-10,20130610.0,买入,,调高,评级变动方向
300244,浙商证券,程艳华,2012-12-28,20130628.0,买入,增持,调高,评级变动方向
300247,国金证券,王晓莹,2012-01-19,20130119.0,买入,持有,调高,评级变动方向
300251,中信建投,朱律,2012-12-11,20130611.0,买入,,调高,评级变动方向
300253,天风证券,郭敏,2012-06-29,20121229.0,买入,,调高,评级变动方向
300258,光大证券,于特,2012-01-19,20130119.0,买入,增持,调高,评级变动方向
300274,申银万国,齐琦,2012-05-22,20121122.0,买入,,调高,评级变动方向
300274,群益证券,韩伟琪,2012-09-12,20130312.0,买入,中性,调高,评级变动方向
300275,中原证券,徐敏锋,2012-08-15,20130215.0,买入,,调高,评级变动方向
300285,广发证券,肖征,2012-03-29,20130329.0,买入,持有,调高,评级变动方向
300285,广发证券,巨国贤,2012-10-16,20131016.0,买入,持有,调高,评级变动方向
300288,宏源证券,张泽京,2012-11-23,20130523.0,买入,,调高,评级变动方向
300291,齐鲁证券,刘江啸,2012-10-25,20131025.0,买入,增持,调高,评级变动方向
300291,宏源证券,张泽京,2012-12-08,20130608.0,买入,,调高,评级变动方向
300295,华泰证券,马仁敏,2012-11-29,20130529.0,买入,,调高,评级变动方向
300298,中信证券,李朝,2012-10-23,20130423.0,买入,,调高,评级变动方向
300303,光大证券,蒯剑,2012-08-02,20130802.0,买入,增持,调高,评级变动方向
600006,信达证券,邢海芝,2012-06-27,20121227.0,买入,增持,调高,评级变动方向
600006,兴业证券,李纲领,2012-12-10,20131210.0,买入,,调高,评级变动方向
600009,西南证券,李慧,2012-11-30,20130531.0,买入,,调高,评级变动方向
