wind代码,证券名称,董事会预案日,股东大会公告日,初始资金规模(万元),预计持股数量(万股),占总股本比例,资金来源,股票来源,持股人数,员工认购比例,高管认购比例
002399.SZ,海普瑞,2014-07-10 00:00:00,2014-07-29 00:00:00,17000.0,904.0,1.13,向第三方融资,竞价转让,97.0,45.45,54.55
300001.SZ,特锐德,2014-07-23 00:00:00,2014-08-08 00:00:00,4994.9,400.0,1.0,员工薪酬及自筹资金,认购非公开发行,,67.84,32.16
600703.SH,三安光电,2014-08-13 00:00:00,2014-08-29 00:00:00,30808.0,6568.0,2.74,员工薪酬及自筹资金,竞价转让,979.0,79.13,20.87
002456.SZ,欧菲光,2014-08-21 00:00:00,2014-09-06 00:00:00,500.0,662.84,0.713,员工薪酬及自筹资金,竞价转让,131.0,86.932,13.068
002089.SZ,*ST新海,2014-08-28 00:00:00,2014-09-13 00:00:00,11063.0,3350.0,5.9,员工薪酬及自筹资金,竞价转让,178.0,77.2,22.8
002024.SZ,苏宁易购,2014-09-05 00:00:00,2014-09-23 00:00:00,55000.0,7161.46,0.97,"员工薪酬及自筹资金,股东或实际控制人借款",竞价转让,1200.0,,
000671.SZ,阳光城,2014-09-17 00:00:00,2014-10-09 00:00:00,8000.0,2354.79,2.26,员工薪酬及自筹资金,竞价转让,,,
600388.SH,龙净环保,2014-09-12 00:00:00,2014-10-11 00:00:00,3429.2811,,,持股计划奖励金,"竞价转让,定向受让,认购非公开发行",325.0,79.7,20.3
300269.SZ,联建光电,2014-09-26 00:00:00,2014-10-14 00:00:00,11160.0,360.0,2.0,员工薪酬及自筹资金,认购非公开发行,,15.25,84.75
002612.SZ,朗姿股份,2014-09-30 00:00:00,2014-10-16 00:00:00,,933.0,4.67,"员工薪酬及自筹资金,股东或实际控制人借款",定向受让,,80.49,9.54
300290.SZ,荣科科技,2014-09-30 00:00:00,2014-10-16 00:00:00,6000.0,378.0718,,员工薪酬及自筹资金,认购非公开发行,,,
600337.SH,美克家居,2014-09-30 00:00:00,2014-10-17 00:00:00,8577.0,3431.0,5.3,员工薪酬及自筹资金,竞价转让,479.0,96.88,3.12
300284.SZ,苏交科,2014-09-15 00:00:00,2014-10-17 00:00:00,16585.2,2040.0,,员工薪酬及自筹资金,认购非公开发行,,,30.0
300066.SZ,三川智慧,2014-10-14 00:00:00,2014-10-30 00:00:00,4487.994000000001,585.9,,员工薪酬及自筹资金,认购非公开发行,127.0,52.31,47.69
300145.SZ,中金环境,2014-10-18 00:00:00,2014-11-04 00:00:00,10000.0,680.0,2.59,员工薪酬及自筹资金,竞价转让,150.0,93.62,6.38
300199.SZ,翰宇药业,2014-10-18 00:00:00,2014-11-07 00:00:00,2000.0,510.05,1.28,员工薪酬及自筹资金,竞价转让,140.0,91.75,8.25
603001.SH,奥康国际,2014-10-25 00:00:00,2014-11-11 00:00:00,13300.0,1752.0,4.37,员工薪酬及自筹资金,"竞价转让,定向受让",51.0,78.95,21.05
002449.SZ,国星光电,2014-10-24 00:00:00,2014-11-11 00:00:00,9130.0,9130.0,,员工薪酬及自筹资金,认购非公开发行,,,
600887.SH,伊利股份,2014-10-28 00:00:00,2014-11-14 00:00:00,4482.2299,,,持股计划奖励金,竞价转让,349.0,79.01,20.99
600887.SH,伊利股份,2014-10-28 00:00:00,2014-11-14 00:00:00,13265.3295,,,持股计划奖励金,竞价转让,328.0,70.04,29.96
600887.SH,伊利股份,2014-10-28 00:00:00,2014-11-14 00:00:00,14389.4588,,,持股计划奖励金,竞价转让,317.0,69.24,30.76
600887.SH,伊利股份,2014-10-28 00:00:00,2014-11-14 00:00:00,8587.8435,,,持股计划奖励金,"竞价转让,定向受让",322.0,66.25,33.75
600887.SH,伊利股份,2014-10-28 00:00:00,2014-11-14 00:00:00,13433.7745,,,持股计划奖励金,"竞价转让,定向受让",333.0,36.32,63.68
600887.SH,伊利股份,2014-10-28 00:00:00,2014-11-14 00:00:00,,,,持股计划奖励金,"竞价转让,定向受让",,,
300297.SZ,蓝盾股份,2014-11-03 00:00:00,2014-11-20 00:00:00,2000.0,111.3585,0.5048,员工薪酬及自筹资金,认购非公开发行,26.0,68.57,31.43
001696.SZ,宗申动力,2014-11-08 00:00:00,2014-11-25 00:00:00,4000.0,418.85,0.37,员工薪酬及自筹资金,竞价转让,35.0,54.61,45.39
