日期,证券代码,证券名称
2019-07-29 00:00:00,000002.SZ,万科A
2019-07-29 00:00:00,000028.SZ,国药一致
2019-07-29 00:00:00,000039.SZ,中集集团
2019-07-29 00:00:00,000050.SZ,深天马A
2019-07-29 00:00:00,000063.SZ,中兴通讯
2019-07-29 00:00:00,000066.SZ,中国长城
2019-07-29 00:00:00,000069.SZ,华侨城A
2019-07-29 00:00:00,0001.HK,长和
2019-07-29 00:00:00,000100.SZ,TCL集团
2019-07-29 00:00:00,0002.HK,中电控股
2019-07-29 00:00:00,000333.SZ,美的集团
2019-07-29 00:00:00,000513.SZ,丽珠集团
2019-07-29 00:00:00,000651.SZ,格力电器
2019-07-29 00:00:00,0008.HK,电讯盈科
2019-07-29 00:00:00,000999.SZ,华润三九
2019-07-29 00:00:00,001979.SZ,招商蛇口
2019-07-29 00:00:00,002008.SZ,大族激光
2019-07-29 00:00:00,002138.SZ,顺络电子
2019-07-29 00:00:00,002152.SZ,广电运通
2019-07-29 00:00:00,002180.SZ,纳思达
2019-07-29 00:00:00,002191.SZ,劲嘉股份
2019-07-29 00:00:00,002249.SZ,大洋电机
2019-07-29 00:00:00,002294.SZ,信立泰
2019-07-29 00:00:00,002311.SZ,海大集团
2019-07-29 00:00:00,002340.SZ,格林美
2019-07-29 00:00:00,002352.SZ,顺丰控股
2019-07-29 00:00:00,002399.SZ,海普瑞
2019-07-29 00:00:00,002449.SZ,国星光电
2019-07-29 00:00:00,002456.SZ,欧菲光
2019-07-29 00:00:00,002465.SZ,海格通信
2019-07-29 00:00:00,002475.SZ,立讯精密
2019-07-29 00:00:00,002572.SZ,索菲亚
2019-07-29 00:00:00,002583.SZ,海能达
2019-07-29 00:00:00,002594.SZ,比亚迪
2019-07-29 00:00:00,002600.SZ,领益智造
2019-07-29 00:00:00,002625.SZ,光启技术
2019-07-29 00:00:00,002745.SZ,木林森
2019-07-29 00:00:00,002815.SZ,崇达技术
2019-07-29 00:00:00,002831.SZ,裕同科技
2019-07-29 00:00:00,002841.SZ,视源股份
2019-07-29 00:00:00,002851.SZ,麦格米特
2019-07-29 00:00:00,002912.SZ,中新赛克
2019-07-29 00:00:00,002916.SZ,深南电路
2019-07-29 00:00:00,002920.SZ,德赛西威
2019-07-29 00:00:00,002938.SZ,鹏鼎控股
2019-07-29 00:00:00,0069.HK,香格里拉(亚洲)
2019-07-29 00:00:00,0144.HK,招商局港口
2019-07-29 00:00:00,0148.HK,建滔集团
2019-07-29 00:00:00,0179.HK,德昌电机控股
2019-07-29 00:00:00,0285.HK,比亚迪电子
2019-07-29 00:00:00,0291.HK,华润啤酒
2019-07-29 00:00:00,0303.HK,VTECH HOLDINGS
2019-07-29 00:00:00,0345.HK,VITASOY INT'L
2019-07-29 00:00:00,0388.HK,香港交易所
2019-07-29 00:00:00,0522.HK,ASM PACIFIC
2019-07-29 00:00:00,0669.HK,创科实业
2019-07-29 00:00:00,0700.HK,腾讯控股
2019-07-29 00:00:00,0839.HK,中教控股
2019-07-29 00:00:00,0868.HK,信义玻璃
2019-07-29 00:00:00,1112.HK,H&H国际控股
2019-07-29 00:00:00,1316.HK,耐世特
2019-07-29 00:00:00,1816.HK,中广核电力
2019-07-29 00:00:00,1888.HK,建滔积层板
2019-07-29 00:00:00,1929.HK,周大福
2019-07-29 00:00:00,2018.HK,瑞声科技
2019-07-29 00:00:00,2128.HK,中国联塑
2019-07-29 00:00:00,2689.HK,玖龙纸业
2019-07-29 00:00:00,300012.SZ,华测检测
2019-07-29 00:00:00,300014.SZ,亿纬锂能
2019-07-29 00:00:00,300098.SZ,高新兴
2019-07-29 00:00:00,300115.SZ,长盈精密
2019-07-29 00:00:00,300124.SZ,汇川技术
2019-07-29 00:00:00,300136.SZ,信维通信
2019-07-29 00:00:00,300146.SZ,汤臣倍健
2019-07-29 00:00:00,300207.SZ,欣旺达
2019-07-29 00:00:00,300454.SZ,深信服
2019-07-29 00:00:00,300482.SZ,万孚生物
2019-07-29 00:00:00,300529.SZ,健帆生物
2019-07-29 00:00:00,300601.SZ,康泰生物
2019-07-29 00:00:00,300633.SZ,开立医疗
2019-07-29 00:00:00,300676.SZ,华大基因
2019-07-29 00:00:00,300760.SZ,迈瑞医疗
2019-07-29 00:00:00,3320.HK,华润医药
2019-07-29 00:00:00,3333.HK,中国恒大
2019-07-29 00:00:00,600029.SH,南方航空
2019-07-29 00:00:00,600030.SH,中信证券
2019-07-29 00:00:00,600036.SH,招商银行
2019-07-29 00:00:00,600183.SH,生益科技
2019-07-29 00:00:00,600323.SH,瀚蓝环境
2019-07-29 00:00:00,600332.SH,白云山
2019-07-29 00:00:00,600380.SH,健康元
2019-07-29 00:00:00,600728.SH,佳都科技
2019-07-29 00:00:00,601138.SH,工业富联
2019-07-29 00:00:00,601238.SH,广汽集团
2019-07-29 00:00:00,601318.SH,中国平安
2019-07-29 00:00:00,603160.SH,汇顶科技
2019-07-29 00:00:00,603228.SH,景旺电子
2019-07-29 00:00:00,603288.SH,海天味业
2019-07-29 00:00:00,603833.SH,欧派家居
2019-07-29 00:00:00,6088.HK,FIT HON TENG
