交易代码,公司名称,董监高姓名,职务,变动数,变动后持股数,变动原因,变动日期,填报日期,股份变动人姓名,变动人与董监高的关系
1,平安银行,孙先朗,高管,4000.0,4000.0,竞价交易,2013-04-09,2013-04-11,白国华,配偶
1,平安银行,吴鹏,高管,50000.0,51198.0,竞价交易,2013-12-13,2013-12-16,由晓红,配偶
2,万科A,王文金,高管,880000.0,2223591.0,股权激励,2013-01-24,2013-01-26,王文金,本人
7,零七股份,练卫飞,董事,319094.0,319094.0,竞价交易,2013-07-02,2013-07-09,深圳市源亨信投资有限公司,受控法人
8,宝利来,徐进,独立董事,300.0,300.0,竞价交易,2013-10-15,2013-10-16,赵慧敏,配偶
11,深物业A,李子鹏,高管,8400.0,32864.0,竞价交易,2013-01-07,2013-01-09,李燄,父母
24,招商地产,孟才,高管,8300.0,61882.0,竞价交易,2013-10-30,2013-10-31,孟才,本人
39,中集集团,徐敏杰,董事,200.0,200.0,竞价交易,2013-12-11,2013-12-12,徐立新,父母
40,宝安地产,颜金辉,董事,3700.0,3700.0,竞价交易,2013-01-22,2013-01-24,颜曜堂,子女
48,康达尔,黄樯,监事,40000.0,40000.0,竞价交易,2013-05-22,2013-05-24,黄纯,配偶
48,康达尔,罗爱华,董事、高管,1847863.0,2252662.0,竞价交易,2013-06-13,2013-06-17,陆伟民,配偶
49,德赛电池,徐文赋,监事,100.0,100.0,竞价交易,2013-05-07,2013-05-09,张玉娴,配偶
55,方大集团,熊建明,董事、高管,899800.0,1002771.0,竞价交易,2013-11-08,2013-11-11,熊建明,本人
60,中金岭南,郭勇,董事,60000.0,764396.0,竞价交易,2013-06-25,2013-06-27,郭勇,本人
60,中金岭南,朱卫平,独立董事,300000.0,300000.0,竞价交易,2013-07-01,2013-07-03,陈碧清,配偶
62,深圳华强,薛允功,高管,500.0,500.0,竞价交易,2013-07-18,2013-07-22,薛谦,子女
68,华控赛格,黄红芳,高管,1600.0,17060.0,竞价交易,2013-12-27,2013-12-30,黄艳兰,兄弟姐妹
100,TCL集团,李东生,董事、高管,3550000.0,498388400.0,竞价交易,2013-01-14,2013-01-16,李东生,本人
100,TCL集团,李东生,董事、高管,6000000.0,508288400.0,竞价交易,2013-05-10,2013-05-14,李东生,本人
100,TCL集团,李东生,董事、高管,1165000.0,510147300.0,竞价交易,2013-06-05,2013-06-07,李东生,本人
100,TCL集团,闫晓林,高管,26200.0,531500.0,股权激励,2013-07-01,2013-07-05,闫晓林,本人
157,中联重科,郭学红,高管,20000.0,198750.0,竞价交易,2013-05-30,2013-06-03,郭学红,本人
157,中联重科,郭学红,高管,200000.0,398750.0,竞价交易,2013-06-03,2013-06-05,郭学红,本人
157,中联重科,王玉坤,高管,40000.0,40000.0,竞价交易,2013-08-29,2013-09-02,王玉辉,兄弟姐妹
402,金融街,吕洪,董事、高管,100000.0,240000.0,竞价交易,2013-07-01,2013-07-03,吕洪,本人
